condition,id,baseline_car1,update_car1
Sign Top,152,252045,273571
Sign Top,153,112557,127465
Sign Bottom,154,24130,34746
Sign Bottom,155,97695,122888
Sign Bottom,156,45443,85022
Sign Top,157,2,15341
Sign Top,158,153379,156774
Sign Top,159,80000,91432
Sign Top,160,94000,108311
Sign Top,161,228964,260720
Sign Bottom,162,17851,37494
Sign Bottom,163,109111,112790
Sign Top,164,38409,73694
Sign Top,165,2820,19033
Sign Bottom,166,89927,106207
Sign Top,167,54000,87917
Sign Top,168,36200,84843
Sign Bottom,169,50112,91739
Sign Bottom,170,75340,122725
Sign Top,171,8133,11912
Sign Bottom,172,17259,20872
Sign Top,173,26400,59788
Sign Bottom,174,94678,106982
Sign Top,175,68336,69348
Sign Bottom,176,74956,106491
Sign Top,177,36631,74814
Sign Bottom,178,7871,41050
Sign Bottom,179,28047,37187
Sign Bottom,180,124622,163215
Sign Bottom,181,75919,105895
Sign Top,182,33800,56736
Sign Bottom,183,60085,74514
Sign Top,184,180729,203634
Sign Top,185,15138,29016
Sign Top,186,17284,32912
Sign Top,187,62315,96245
Sign Top,188,441,20768
Sign Top,189,14,42134
Sign Bottom,190,37600,73833
Sign Top,191,40000,45721
Sign Top,192,10196,39044
Sign Top,193,18953,37064
Sign Bottom,194,63602,97404
Sign Top,195,63600,110370
Sign Top,196,67507,87153
Sign Top,197,308,29500
Sign Top,198,10000,15081
Sign Top,199,65980,104295
Sign Top,200,9063,40947
Sign Top,201,590,19316
Sign Bottom,202,50646,86640
Sign Top,203,23213,49047
Sign Bottom,204,88797,97380
Sign Top,205,61415,83697
Sign Bottom,206,32663,48844
Sign Top,207,126994,141997
Sign Bottom,208,51205,98064
Sign Bottom,209,82291,119431
Sign Bottom,210,185718,195924
Sign Bottom,211,75642,94148
Sign Top,212,63275,72883
Sign Top,213,5,31002
Sign Bottom,214,84780,110838
Sign Bottom,215,74007,77015
Sign Bottom,216,66782,112613
Sign Top,217,128503,165168
Sign Bottom,218,16910,31340
Sign Top,219,75813,95068
Sign Top,220,689,11841
Sign Bottom,221,55170,99166
Sign Bottom,222,81000,127399
Sign Top,223,101313,105928
Sign Top,224,79771,115333
Sign Top,225,18834,35961
Sign Top,226,98319,147607
Sign Top,227,12,49085
Sign Top,228,258934,288802
Sign Bottom,229,91289,112307
Sign Bottom,230,78946,109800
Sign Bottom,231,126940,151587
Sign Top,232,119373,151859
Sign Bottom,233,181507,192554
Sign Bottom,234,40538,74941
Sign Bottom,235,118309,134879
Sign Bottom,236,130248,154030
Sign Bottom,237,160578,178701
Sign Top,238,70810,109296
Sign Top,239,55000,93963
Sign Bottom,240,96944,109908
Sign Top,241,51843,52074
Sign Top,242,67114,71020
Sign Top,243,52878,100716
Sign Bottom,244,53635,88337
Sign Bottom,245,103548,106436
Sign Bottom,246,124399,127841
Sign Top,247,23000,36643
Sign Bottom,248,15033,39732
Sign Bottom,249,153619,197589
Sign Top,250,61501,69975
Sign Bottom,251,6053,40964
Sign Top,252,125832,132087
Sign Bottom,253,33092,52002
Sign Top,254,83573,108301
Sign Top,255,32518,77697
Sign Top,256,516,21437
Sign Bottom,257,5645,16666
Sign Top,258,74650,91119
Sign Bottom,259,25070,42994
Sign Bottom,260,15490,18116
Sign Top,261,36000,80431
Sign Bottom,262,87831,90183
Sign Top,263,12000,16762
Sign Bottom,264,16287,42941
Sign Bottom,265,63949,110881
Sign Top,266,22552,63768
Sign Bottom,267,85833,132736
Sign Bottom,268,29466,50665
Sign Bottom,269,19525,19720
Sign Top,270,95000,128625
Sign Top,271,49340,74498
Sign Top,272,86052,105313
Sign Bottom,273,70000,118465
Sign Top,274,180000,206797
Sign Bottom,275,15031,43239
Sign Bottom,276,69438,76270
Sign Top,277,95000,114444
Sign Bottom,278,22009,44787
Sign Top,279,37573,55850
Sign Top,280,111013,120209
Sign Top,281,133556,144897
Sign Top,282,88149,124474
Sign Bottom,283,92264,92710
Sign Top,284,6722,23878
Sign Bottom,285,48795,95386
Sign Top,286,74000,76766
Sign Top,287,17042,35653
Sign Top,288,122909,163225
Sign Bottom,289,85472,132388
Sign Bottom,290,68601,83651
Sign Bottom,291,58701,91946
Sign Bottom,292,57658,88770
Sign Bottom,293,51352,85295
Sign Bottom,294,53764,70606
Sign Top,295,33417,59752
Sign Bottom,296,80223,112940
Sign Top,297,524,28298
Sign Bottom,298,93216,118199
Sign Bottom,299,51054,80935
Sign Top,300,112484,154782
Sign Bottom,301,86000,131981
Sign Bottom,302,28916,43113
Sign Bottom,303,67000,72551
Sign Top,304,417,2062
Sign Bottom,305,28410,30072
Sign Top,306,39203,41527
Sign Top,307,130081,146239
Sign Top,308,79158,103979
Sign Bottom,309,13405,30197
Sign Bottom,310,50880,90723
Sign Bottom,311,10738,60577
Sign Bottom,312,103136,109084
Sign Bottom,313,13401,13435
Sign Bottom,314,57734,80781
Sign Bottom,315,30687,60837
Sign Bottom,316,50751,76259
Sign Top,317,15,41852
Sign Top,318,62508,91575
Sign Top,319,86943,132888
Sign Top,320,59220,83592
Sign Top,321,27000,49976
Sign Top,322,110,13479
Sign Top,323,19303,51884
Sign Bottom,324,55091,100462
Sign Bottom,325,49352,85870
Sign Bottom,326,60081,98846
Sign Top,327,3372,17833
Sign Top,328,45000,64047
Sign Top,329,7055,51813
Sign Top,330,81877,109837
Sign Top,331,5000,10214
Sign Bottom,332,1721,30093
Sign Top,333,126451,176134
Sign Top,334,105663,137021
Sign Top,335,194770,232729
Sign Top,336,59230,80215
Sign Bottom,337,164132,202271
Sign Bottom,338,5920,52594
Sign Top,339,142471,172366
Sign Top,340,188688,197094
Sign Bottom,341,106629,109234
Sign Top,342,66000,80338
Sign Top,343,54778,90188
Sign Bottom,344,68826,113082
Sign Top,345,55152,97142
Sign Top,346,73507,75575
Sign Top,347,16140,58117
Sign Bottom,348,140694,143900
Sign Top,349,74000,100732
Sign Top,350,1500,31422
Sign Top,351,41203,87570
Sign Top,352,150792,170680
Sign Bottom,353,84920,87973
Sign Top,354,230,22353
Sign Bottom,355,29325,67441
Sign Bottom,356,163538,212114
Sign Top,357,40366,64559
Sign Bottom,358,31500,32896
Sign Top,359,10307,19790
Sign Top,360,76674,84503
Sign Bottom,361,388,10410
Sign Top,362,6966,18936
Sign Top,363,34000,45366
Sign Bottom,364,155750,169405
Sign Top,365,57000,106260
Sign Top,366,8460,39733
Sign Top,367,5,40044
Sign Top,368,116140,145201
Sign Top,369,112000,129079
Sign Top,370,83436,121126
Sign Top,371,29530,52362
Sign Top,372,8973,40030
Sign Top,373,135741,158572
Sign Top,374,700,2824
Sign Bottom,375,78706,115809
Sign Top,376,140581,167764
Sign Top,377,40727,47378
Sign Top,378,31094,52408
Sign Bottom,379,67544,70788
Sign Top,380,119547,124356
Sign Bottom,381,30521,74420
Sign Top,382,19884,45284
Sign Bottom,383,28482,62784
Sign Top,384,12817,31278
Sign Bottom,385,35293,41122
Sign Bottom,386,184251,207277
Sign Bottom,387,74624,105254
Sign Top,388,4000,13063
Sign Top,389,60049,62124
Sign Top,390,17000,39480
Sign Top,391,103000,118672
Sign Bottom,392,24712,63922
Sign Top,393,98980,120776
Sign Bottom,394,52312,56689
Sign Bottom,395,124771,160453
Sign Top,396,60000,90971
Sign Bottom,397,83118,110667
Sign Top,398,135514,183033
Sign Top,399,56000,95261
Sign Bottom,400,63640,73813
Sign Top,401,70807,102624
Sign Top,402,43935,79123
Sign Bottom,403,57471,83206
Sign Top,404,57343,105126
Sign Top,405,86024,121354
Sign Bottom,406,111023,126050
Sign Bottom,407,55619,61204
Sign Bottom,408,70619,75232
Sign Bottom,409,83866,112668
Sign Top,410,31026,53379
Sign Top,411,50451,52603
Sign Bottom,412,149040,173350
Sign Bottom,413,92255,127196
Sign Bottom,414,16665,47710
Sign Top,415,50,37785
Sign Bottom,416,37914,40800
Sign Bottom,417,64063,111737
Sign Bottom,418,174000,190309
Sign Top,419,30078,68431
Sign Top,420,22668,60776
Sign Top,421,49520,63203
Sign Top,422,65641,99294
Sign Top,423,50206,66021
Sign Top,424,28500,55046
Sign Bottom,425,108668,126066
Sign Top,426,121446,134330
Sign Top,427,46356,55026
Sign Top,428,65000,85462
Sign Bottom,429,37562,46841
Sign Bottom,430,51442,101127
Sign Bottom,431,132352,158088
Sign Top,432,79448,84471
Sign Bottom,433,7912,57607
Sign Bottom,434,119160,167842
Sign Top,435,76724,114698
Sign Bottom,436,163325,196484
Sign Top,437,47900,82509
Sign Top,438,4144,24066
Sign Bottom,439,64885,84589
Sign Top,440,10553,26214
Sign Top,441,100131,118517
Sign Bottom,442,114503,121297
Sign Top,443,40681,49036
Sign Bottom,444,60829,66243
Sign Bottom,445,49620,59504
Sign Bottom,446,226651,257155
Sign Bottom,447,160242,198831
Sign Top,448,19000,32088
Sign Bottom,449,17934,37904
Sign Bottom,450,113091,127912
Sign Top,451,127039,144415
Sign Top,452,59000,85230
Sign Top,453,170095,175156
Sign Bottom,454,27281,38224
Sign Bottom,455,3616,38043
Sign Bottom,456,94367,131333
Sign Top,457,30200,67726
Sign Bottom,458,43699,47174
Sign Bottom,459,167289,193307
Sign Bottom,460,36428,60667
Sign Bottom,461,11183,58342
Sign Bottom,462,46625,65756
Sign Bottom,463,128922,133045
Sign Bottom,464,29358,45645
Sign Top,465,28528,72313
Sign Bottom,466,12987,47768
Sign Top,467,20630,66498
Sign Bottom,468,22106,27210
Sign Bottom,469,69226,94767
Sign Bottom,470,10155,16855
Sign Top,471,165670,200555
Sign Top,472,35000,77533
Sign Bottom,473,33923,53765
Sign Bottom,474,44836,53984
Sign Top,475,11640,56518
Sign Bottom,476,2469,26902
Sign Top,477,89000,126481
Sign Bottom,478,21353,61527
Sign Top,479,58858,68684
Sign Bottom,480,35213,48925
Sign Bottom,481,136355,140915
Sign Top,482,125000,134563
Sign Bottom,483,72805,99513
Sign Top,484,155755,161873
Sign Bottom,485,25300,46929
Sign Bottom,486,69443,115999
Sign Top,487,584,46218
Sign Top,488,60767,87891
Sign Bottom,489,12339,48554
Sign Top,490,91085,103576
Sign Bottom,491,80019,125767
Sign Bottom,492,5711,27167
Sign Top,493,196,4612
Sign Top,494,64882,108122
Sign Top,495,0,13975
Sign Bottom,496,44465,74060
Sign Top,497,20649,31329
Sign Top,498,25000,54206
Sign Bottom,499,32876,74944
Sign Top,500,100462,119060
Sign Top,501,46180,75462
Sign Top,502,85099,117159
Sign Top,503,6000,42577
Sign Top,504,22079,57179
Sign Bottom,505,240388,247257
Sign Bottom,506,46763,63089
Sign Bottom,507,61406,76405
Sign Bottom,508,80350,85612
Sign Bottom,509,108683,111819
Sign Bottom,510,156325,197836
Sign Top,511,31212,71663
Sign Top,512,17982,61435
Sign Bottom,513,0,6482
Sign Bottom,514,37256,51441
Sign Top,515,15000,19135
Sign Top,516,44000,72988
Sign Bottom,517,69691,80587
Sign Bottom,518,38572,48322
Sign Bottom,519,109145,124647
Sign Top,520,39931,42992
Sign Top,521,38000,71754
Sign Bottom,522,37251,75495
Sign Bottom,523,20810,48081
Sign Top,524,106747,121788
Sign Top,525,18520,64606
Sign Bottom,526,69971,84704
Sign Top,527,25,1882
Sign Top,528,68470,110099
Sign Bottom,529,76227,113656
Sign Bottom,530,66426,113584
Sign Top,531,78984,92713
Sign Top,532,117184,149819
Sign Top,533,1040,22252
Sign Top,534,110000,148923
Sign Bottom,535,96055,123653
Sign Top,536,24561,26201
Sign Top,537,139673,179679
Sign Bottom,538,33300,82080
Sign Top,539,147426,193377
Sign Top,540,81500,125886
Sign Bottom,541,132367,173972
Sign Top,542,12014,33649
Sign Bottom,543,11569,39444
Sign Bottom,544,91833,115105
Sign Bottom,545,4244,32529
Sign Top,546,64972,67097
Sign Top,547,82139,112827
Sign Bottom,548,34107,57071
Sign Bottom,549,17868,40476
Sign Bottom,550,29030,50419
Sign Bottom,551,43343,70262
Sign Bottom,552,27132,73738
Sign Bottom,553,56229,91356
Sign Top,554,22054,25074
Sign Top,555,525,2116
Sign Top,556,43000,75672
Sign Bottom,557,9761,57597
Sign Bottom,558,30825,43184
Sign Top,559,35000,63599
Sign Bottom,560,135517,164118
Sign Bottom,561,14133,21506
Sign Top,562,31948,66744
Sign Top,563,70000,112112
Sign Top,564,141395,165486
Sign Bottom,565,81031,115035
Sign Top,566,38036,39109
Sign Bottom,567,58895,85567
Sign Bottom,568,70155,89265
Sign Bottom,569,120099,126592
Sign Bottom,570,65134,110175
Sign Bottom,571,51305,56027
Sign Bottom,572,53676,54319
Sign Bottom,573,65662,83466
Sign Bottom,574,132352,148363
Sign Bottom,575,76191,117339
Sign Top,576,133000,163394
Sign Top,577,6726,13538
Sign Top,578,45110,88130
Sign Bottom,579,16874,66794
Sign Top,580,37000,56508
Sign Bottom,581,21596,39227
Sign Top,582,34656,69803
Sign Bottom,583,10042,31985
Sign Top,584,9540,19835
Sign Bottom,585,70214,115329
Sign Bottom,586,71000,71250
Sign Bottom,587,31523,54123
Sign Bottom,588,120183,133105
Sign Bottom,589,80873,104130
Sign Bottom,590,56000,84416
Sign Top,591,8,40574
Sign Bottom,592,153540,176514
Sign Bottom,593,44608,50318
Sign Top,594,32168,47138
Sign Top,595,50000,97950
Sign Bottom,596,67563,75570
Sign Top,597,27232,49183
Sign Top,598,141362,186709
Sign Top,599,84808,128717
Sign Bottom,600,117565,130569
Sign Bottom,601,102483,105998
Sign Top,602,24732,66971
Sign Top,603,962,28850
Sign Bottom,604,50687,53634
Sign Top,605,67500,88070
Sign Top,606,75601,124924
Sign Bottom,607,110034,140801
Sign Top,608,44669,45104
Sign Top,609,137455,147947
Sign Top,610,275995,294018
Sign Bottom,611,145956,157408
Sign Bottom,612,186700,211285
Sign Bottom,613,76721,95633
Sign Bottom,614,132000,171255
Sign Bottom,615,163473,207062
Sign Bottom,616,42643,43347
Sign Top,617,84707,110388
Sign Bottom,618,197077,197221
Sign Top,619,13484,17177
Sign Top,620,56594,66112
Sign Bottom,621,64740,90116
Sign Bottom,622,12295,21467
Sign Top,623,180423,198864
Sign Bottom,624,48572,84652
Sign Bottom,625,128625,146914
Sign Bottom,626,43033,79987
Sign Bottom,627,49086,74417
Sign Top,628,65924,111787
Sign Bottom,629,49198,52146
Sign Bottom,630,54000,102877
Sign Top,631,105153,123932
Sign Bottom,632,91611,134032
Sign Bottom,633,90198,121919
Sign Bottom,634,118813,136671
Sign Bottom,635,67346,112256
Sign Bottom,636,138455,148952
Sign Top,637,75246,80511
Sign Top,638,138000,158964
Sign Bottom,639,14967,62502
Sign Bottom,640,112780,160241
Sign Bottom,641,29213,39416
Sign Bottom,642,48316,89958
Sign Top,643,101604,130982
Sign Top,644,7500,31464
Sign Top,645,168296,205475
Sign Top,646,80000,100252
Sign Top,647,0,18350
Sign Bottom,648,60422,98810
Sign Top,649,26543,40077
Sign Top,650,18368,47458
Sign Top,651,82231,97040
Sign Top,652,177548,210393
Sign Bottom,653,91893,100780
Sign Bottom,654,88426,101910
Sign Bottom,655,60991,76898
Sign Bottom,656,63672,71383
Sign Top,657,58087,89178
Sign Top,658,155557,183243
Sign Bottom,659,129933,174090
Sign Top,660,45172,94767
Sign Bottom,661,116891,159254
Sign Bottom,662,99600,116146
Sign Bottom,663,102937,151137
Sign Top,664,12452,21986
Sign Bottom,665,4968,17680
Sign Bottom,666,58826,73695
Sign Bottom,667,35740,56039
Sign Bottom,668,16938,34262
Sign Top,669,98000,105296
Sign Top,670,103000,107907
Sign Bottom,671,56787,95429
Sign Bottom,672,129995,172078
Sign Top,673,30000,76754
Sign Top,674,97000,146547
Sign Top,675,29000,62200
Sign Bottom,676,45352,50963
Sign Top,677,614,17538
Sign Top,678,50000,85950
Sign Top,679,37000,48482
Sign Top,680,16505,53178
Sign Top,681,147000,149275
Sign Top,682,87300,125035
Sign Top,683,118836,146019
Sign Top,684,52635,91350
Sign Top,685,167146,198150
Sign Bottom,686,16877,62522
Sign Top,687,91950,120041
Sign Top,688,170477,212541
Sign Top,689,49604,97674
Sign Bottom,690,79989,101095
Sign Bottom,691,125806,174628
Sign Bottom,692,143000,190072
Sign Bottom,693,54708,71764
Sign Top,694,73595,95209
Sign Bottom,695,126497,173748
Sign Top,696,179,24739
Sign Bottom,697,16779,54749
Sign Bottom,698,49464,96647
Sign Bottom,699,51798,93420
Sign Top,700,11308,37039
Sign Bottom,701,47100,82388
Sign Bottom,702,119000,134205
Sign Bottom,703,9224,49738
Sign Top,704,24326,32061
Sign Bottom,705,48803,73810
Sign Top,706,34000,38375
Sign Bottom,707,66939,74524
Sign Bottom,708,126274,173857
Sign Top,709,60598,82048
Sign Top,710,68,16159
Sign Top,711,51777,63826
Sign Top,712,18023,55771
Sign Bottom,713,87939,106298
Sign Bottom,714,67950,97822
Sign Top,715,544,19656
Sign Top,716,28770,60142
Sign Bottom,717,41327,67172
Sign Top,718,8270,24056
Sign Top,719,125124,156586
Sign Bottom,720,58337,100107
Sign Top,721,151932,154854
Sign Top,722,27300,64590
Sign Top,723,34191,67498
Sign Bottom,724,101763,148711
Sign Bottom,725,96874,136614
Sign Top,726,88744,125159
Sign Bottom,727,54374,61251
Sign Top,728,30309,78637
Sign Bottom,729,115793,163484
Sign Bottom,730,81054,104748
Sign Bottom,731,44179,92589
Sign Bottom,732,7463,10864
Sign Bottom,733,55585,65357
Sign Top,734,0,33233
Sign Bottom,735,125733,155883
Sign Top,736,16000,26129
Sign Top,737,147993,177380
Sign Bottom,738,69268,83068
Sign Bottom,739,177314,208386
Sign Bottom,740,89658,105114
Sign Bottom,741,148800,153727
Sign Bottom,742,4590,37997
Sign Bottom,743,4398,14499
Sign Top,744,164830,184518
Sign Bottom,745,107877,146944
Sign Bottom,746,217114,253434
Sign Top,747,35400,52054
Sign Top,748,79120,86479
Sign Top,749,101625,148134
Sign Top,750,51108,54145
Sign Bottom,751,48238,49987
Sign Bottom,752,53376,77999
Sign Bottom,753,80216,125872
Sign Top,754,98000,113416
Sign Top,755,14231,37341
Sign Bottom,756,70199,94847
Sign Bottom,757,143856,153355
Sign Top,758,28898,75563
Sign Bottom,759,150245,158190
Sign Bottom,760,53000,96755
Sign Top,761,22187,59104
Sign Top,762,39421,86447
Sign Top,763,17483,43374
Sign Top,764,42850,53297
Sign Bottom,765,12077,45705
Sign Top,766,91915,116493
Sign Bottom,767,463284,511887
Sign Bottom,768,145060,174237
Sign Bottom,769,10638,43801
Sign Top,770,23544,63384
Sign Top,771,138339,168282
Sign Top,772,36411,67575
Sign Bottom,773,63168,88734
Sign Bottom,774,34406,37998
Sign Top,775,77,40799
Sign Top,776,3091,45274
Sign Bottom,777,14419,48890
Sign Top,778,77800,120010
Sign Bottom,779,112458,151857
Sign Bottom,780,104668,114241
Sign Bottom,781,28222,61418
Sign Bottom,782,58053,72028
Sign Top,783,32164,61017
Sign Top,784,101710,131910
Sign Top,785,42000,52355
Sign Top,786,69938,92817
Sign Top,787,31116,31460
Sign Top,788,100770,107802
Sign Top,789,140087,155246
Sign Top,790,121978,164568
Sign Top,791,190200,206440
Sign Bottom,792,84673,109415
Sign Bottom,793,102934,135617
Sign Bottom,794,37247,48737
Sign Bottom,795,80904,109481
Sign Bottom,796,65148,74203
Sign Bottom,797,142095,181669
Sign Top,798,19921,60392
Sign Top,799,97390,144709
Sign Top,800,48000,91803
Sign Top,801,27098,64287
Sign Top,802,34000,80594
Sign Top,803,6191,34932
Sign Top,804,8695,21730
Sign Bottom,805,45483,58735
Sign Bottom,806,10991,54484
Sign Top,807,24000,65047
Sign Bottom,808,25254,58214
Sign Bottom,809,8653,28897
Sign Top,810,102584,113854
Sign Bottom,811,38000,60559
Sign Bottom,812,27930,41209
Sign Bottom,813,28979,36025
Sign Top,814,84351,101023
Sign Top,815,83656,133219
Sign Bottom,816,35325,46850
Sign Bottom,817,101841,137488
Sign Bottom,818,66956,101441
Sign Top,819,69250,88233
Sign Top,820,30807,63127
Sign Bottom,821,1168,2820
Sign Bottom,822,91512,111211
Sign Bottom,823,75529,108517
Sign Top,824,505,46230
Sign Top,825,145315,161342
Sign Bottom,826,32659,78615
Sign Top,827,129000,172496
Sign Bottom,828,81662,103469
Sign Top,829,400,1257
Sign Top,830,17107,44948
Sign Bottom,831,59795,63083
Sign Bottom,832,49789,84347
Sign Bottom,833,13281,48498
Sign Bottom,834,146050,176373
Sign Top,835,88000,97542
Sign Bottom,836,108851,132323
Sign Top,837,54043,88716
Sign Top,838,94016,123820
Sign Top,839,35207,47209
Sign Bottom,840,33845,59233
Sign Top,841,63765,99045
Sign Bottom,842,30179,41131
Sign Top,843,9587,46298
Sign Bottom,844,67949,109584
Sign Bottom,845,159390,178119
Sign Bottom,846,90918,128650
Sign Bottom,847,69084,111877
Sign Bottom,848,66158,89254
Sign Bottom,849,15809,45184
Sign Bottom,850,23376,71200
Sign Top,851,43249,86956
Sign Top,852,116884,143301
Sign Top,853,36500,61396
Sign Top,854,99056,103546
Sign Top,855,86500,114872
Sign Top,856,29872,63146
Sign Top,857,20000,69245
Sign Top,858,55542,101550
Sign Top,859,224607,247465
Sign Bottom,860,11354,19794
Sign Top,861,94216,106469
Sign Top,862,70106,100691
Sign Top,863,67776,107579
Sign Top,864,80683,128464
Sign Bottom,865,71534,94985
Sign Top,866,40792,42574
Sign Top,867,62756,108714
Sign Top,868,112837,119603
Sign Top,869,8222,47995
Sign Top,870,45325,62914
Sign Bottom,871,24845,40275
Sign Bottom,872,47700,50203
Sign Bottom,873,30437,70421
Sign Top,874,50000,88857
Sign Top,875,90800,124459
Sign Top,876,157013,190877
Sign Top,877,792,24295
Sign Bottom,878,238710,241668
Sign Top,879,43688,69788
Sign Top,880,77631,114259
Sign Top,881,68758,116427
Sign Bottom,882,18022,43719
Sign Bottom,883,78920,90020
Sign Bottom,884,133594,159960
Sign Bottom,885,8300,8873
Sign Top,886,132084,132689
Sign Top,887,62000,83388
Sign Bottom,888,9421,25024
Sign Top,889,72000,119425
Sign Top,890,40158,89628
Sign Bottom,891,103010,112472
Sign Bottom,892,42588,63932
Sign Bottom,893,35000,51803
Sign Bottom,894,4301,7135
Sign Bottom,895,88391,136860
Sign Bottom,896,19709,56829
Sign Top,897,73506,88294
Sign Bottom,898,74397,82749
Sign Bottom,899,136278,163419
Sign Bottom,900,66210,87575
Sign Top,901,210044,233380
Sign Bottom,902,132801,136641
Sign Bottom,903,109711,133692
Sign Top,904,83909,131587
Sign Top,905,28350,49114
Sign Bottom,906,43958,61421
Sign Top,907,5,23188
Sign Top,908,148000,186206
Sign Bottom,909,163138,197851
Sign Bottom,910,59113,83748
Sign Top,911,12200,22755
Sign Top,912,60000,102828
Sign Bottom,913,92859,113147
Sign Bottom,914,135273,182819
Sign Bottom,915,39517,53246
Sign Bottom,916,10859,45378
Sign Top,917,38347,42286
Sign Bottom,918,183399,228101
Sign Top,919,0,43824
Sign Bottom,920,161904,169336
Sign Bottom,921,110693,114637
Sign Top,922,1400,26345
Sign Bottom,923,22463,42696
Sign Top,924,918,19543
Sign Top,925,137000,158779
Sign Top,926,45000,89182
Sign Bottom,927,40362,88628
Sign Bottom,928,5885,21391
Sign Top,929,15280,24024
Sign Top,930,58000,88551
Sign Bottom,931,35609,68357
Sign Bottom,932,177924,208669
Sign Top,933,324,35901
Sign Bottom,934,76682,116307
